235;156
229;152
229;152
222;149
222;149
216;145
215;145
209;142
208;141
203;139
200;138
196;136
192;135
189;135
187;135
182;135
182;135
175;137
175;138
169;142
165;146
164;146
160;152
157;157
156;158
153;165
151;172
151;173
149;179
147;186
147;189
146;193
146;200
146;203
146;207
146;214
146;221
146;221
148;228
151;234
151;235
156;241
160;246
161;248
165;252
170;257
174;261
175;262
180;267
186;272
186;272
192;275
195;277
199;278
202;279
206;279
212;279
213;279
220;279
225;279
227;278
234;276
240;275
241;274
247;271
254;268
254;267
260;263
262;262
264;258
267;255
268;252
271;248
272;245
275;242
275;239
278;234
278;232
282;227
282;226
283;221
283;219
284;215
284;212
284;210
284;205
284;205
284;200
284;197
284;195
281;191
281;191
279;186
278;185
277;183
274;179
274;179
269;175
268;174
263;171
262;170
259;167
257;166
253;164
250;162
245;159
244;158
238;155
235;154
226;148
