90;243
93;238
94;238
97;232
100;229
100;227
104;222
108;217
111;213
111;211
114;206
118;201
121;195
122;195
124;190
126;184
129;178
130;177
131;172
134;166
136;161
137;160
138;155
140;149
142;143
143;143
145;137
147;131
149;129
150;125
153;121
153;120
156;118
157;117
158;116
158;116
163;118
166;120
168;122
173;126
178;130
183;133
184;134
188;138
192;142
197;147
201;151
206;156
208;158
210;160
214;165
218;170
223;175
227;179
231;184
231;184
234;190
237;195
240;201
243;206
245;210
246;212
249;217
252;223
255;228
258;234
260;236
262;239
265;245
268;250
271;256
274;261
275;263
277;267
281;272
284;277
287;283
291;288
291;288
294;293
298;298
301;303
301;304
303;306
302;306
301;306
300;306
299;306
298;306
298;306
297;306
296;306
295;306
295;305
294;304
